Date,Produk,Actual_Sales,Predicted_Sales,Error,Absolute_Error
2025-11-25,AERIS10,0,0.01,-0.01,0.01
2025-11-26,AERIS10,0,0.01,-0.01,0.01
2025-11-27,AERIS10,0,0.01,-0.01,0.01
2025-11-28,AERIS10,0,0.01,-0.01,0.01
2025-11-29,AERIS10,0,0.01,-0.01,0.01
2025-11-30,AERIS10,0,0.01,-0.01,0.01
2025-12-01,AERIS10,0,0.01,-0.01,0.01
2025-12-02,AERIS10,0,0.01,-0.01,0.01
2025-12-03,AERIS10,0,0.01,-0.01,0.01
2025-12-04,AERIS10,0,0.01,-0.01,0.01
2025-12-05,AERIS10,0,0.01,-0.01,0.01
2025-12-06,AERIS10,0,0.01,-0.01,0.01
2025-12-07,AERIS10,0,0.01,-0.01,0.01
2025-12-08,AERIS10,0,0.01,-0.01,0.01
2025-12-09,AERIS10,0,0.01,-0.01,0.01
2025-12-10,AERIS10,0,0.01,-0.01,0.01
2025-12-11,AERIS10,0,0.01,-0.01,0.01
2025-12-12,AERIS10,0,0.01,-0.01,0.01
2025-12-13,AERIS10,0,0.01,-0.01,0.01
2025-12-14,AERIS10,0,0.01,-0.01,0.01
2025-12-15,AERIS10,0,0.01,-0.01,0.01
2025-12-16,AERIS10,0,0.01,-0.01,0.01
2025-12-17,AERIS10,0,0.01,-0.01,0.01
2025-12-18,AERIS10,0,0.01,-0.01,0.01
2025-12-19,AERIS10,0,0.01,-0.01,0.01
2025-12-20,AERIS10,0,0.01,-0.01,0.01
2025-12-21,AERIS10,0,0.01,-0.01,0.01
2025-12-22,AERIS10,0,0.01,-0.01,0.01
2025-12-23,AERIS10,0,0.01,-0.01,0.01
2025-12-24,AERIS10,0,0.01,-0.01,0.01
2025-12-25,AERIS10,0,0.01,-0.01,0.01
2025-12-26,AERIS10,0,0.01,-0.01,0.01
2025-12-27,AERIS10,0,0.01,-0.01,0.01
2025-12-28,AERIS10,0,0.01,-0.01,0.01
2025-12-29,AERIS10,0,0.01,-0.01,0.01
2025-12-30,AERIS10,0,0.01,-0.01,0.01
2025-12-31,AERIS10,0,0.01,-0.01,0.01
2025-11-25,BB 10,0,0.15,-0.15,0.15
2025-11-26,BB 10,0,0.14,-0.14,0.14
2025-11-27,BB 10,0,0.14,-0.14,0.14
2025-11-28,BB 10,0,0.14,-0.14,0.14
2025-11-29,BB 10,0,0.14,-0.14,0.14
2025-11-30,BB 10,0,0.14,-0.14,0.14
2025-12-01,BB 10,0,0.14,-0.14,0.14
2025-12-02,BB 10,0,0.14,-0.14,0.14
2025-12-03,BB 10,0,0.14,-0.14,0.14
2025-12-04,BB 10,0,0.14,-0.14,0.14
2025-12-05,BB 10,0,0.14,-0.14,0.14
2025-12-06,BB 10,0,0.14,-0.14,0.14
2025-12-07,BB 10,0,0.14,-0.14,0.14
2025-12-08,BB 10,0,0.14,-0.14,0.14
2025-12-09,BB 10,0,0.14,-0.14,0.14
2025-12-10,BB 10,0,0.14,-0.14,0.14
2025-12-11,BB 10,1,0.14,0.86,0.86
2025-12-12,BB 10,0,0.14,-0.14,0.14
2025-12-13,BB 10,0,0.14,-0.14,0.14
2025-12-14,BB 10,0,0.14,-0.14,0.14
2025-12-15,BB 10,0,0.14,-0.14,0.14
2025-12-16,BB 10,0,0.14,-0.14,0.14
2025-12-17,BB 10,0,0.14,-0.14,0.14
2025-12-18,BB 10,0,0.14,-0.14,0.14
2025-12-19,BB 10,0,0.14,-0.14,0.14
2025-12-20,BB 10,0,0.14,-0.14,0.14
2025-12-21,BB 10,0,0.14,-0.14,0.14
2025-12-22,BB 10,0,0.14,-0.14,0.14
2025-12-23,BB 10,0,0.14,-0.14,0.14
2025-12-24,BB 10,0,0.14,-0.14,0.14
2025-12-25,BB 10,0,0.14,-0.14,0.14
2025-12-26,BB 10,0,0.14,-0.14,0.14
2025-12-27,BB 10,0,0.14,-0.14,0.14
2025-12-28,BB 10,0,0.14,-0.14,0.14
2025-12-29,BB 10,0,0.14,-0.14,0.14
2025-12-30,BB 10,0,0.14,-0.14,0.14
2025-12-31,BB 10,0,0.14,-0.14,0.14
2025-11-25,BB 30,0,0.07,-0.07,0.07
2025-11-26,BB 30,0,0.07,-0.07,0.07
2025-11-27,BB 30,0,0.07,-0.07,0.07
2025-11-28,BB 30,0,0.07,-0.07,0.07
2025-11-29,BB 30,0,0.07,-0.07,0.07
2025-11-30,BB 30,0,0.07,-0.07,0.07
2025-12-01,BB 30,0,0.07,-0.07,0.07
2025-12-02,BB 30,0,0.07,-0.07,0.07
2025-12-03,BB 30,0,0.07,-0.07,0.07
2025-12-04,BB 30,0,0.07,-0.07,0.07
2025-12-05,BB 30,0,0.07,-0.07,0.07
2025-12-06,BB 30,0,0.07,-0.07,0.07
2025-12-07,BB 30,0,0.07,-0.07,0.07
2025-12-08,BB 30,0,0.07,-0.07,0.07
2025-12-09,BB 30,0,0.07,-0.07,0.07
2025-12-10,BB 30,0,0.07,-0.07,0.07
2025-12-11,BB 30,0,0.07,-0.07,0.07
2025-12-12,BB 30,0,0.07,-0.07,0.07
2025-12-13,BB 30,0,0.07,-0.07,0.07
2025-12-14,BB 30,0,0.07,-0.07,0.07
2025-12-15,BB 30,0,0.07,-0.07,0.07
2025-12-16,BB 30,0,0.07,-0.07,0.07
2025-12-17,BB 30,0,0.07,-0.07,0.07
2025-12-18,BB 30,0,0.07,-0.07,0.07
2025-12-19,BB 30,0,0.07,-0.07,0.07
2025-12-20,BB 30,0,0.07,-0.07,0.07
2025-12-21,BB 30,0,0.07,-0.07,0.07
2025-12-22,BB 30,0,0.07,-0.07,0.07
2025-12-23,BB 30,0,0.07,-0.07,0.07
2025-12-24,BB 30,0,0.07,-0.07,0.07
2025-12-25,BB 30,0,0.07,-0.07,0.07
2025-12-26,BB 30,0,0.07,-0.07,0.07
2025-12-27,BB 30,0,0.07,-0.07,0.07
2025-12-28,BB 30,0,0.07,-0.07,0.07
2025-12-29,BB 30,0,0.07,-0.07,0.07
2025-12-30,BB 30,0,0.07,-0.07,0.07
2025-12-31,BB 30,0,0.07,-0.07,0.07
2025-11-25,BR45,0,0.02,-0.02,0.02
2025-11-26,BR45,0,0.02,-0.02,0.02
2025-11-27,BR45,0,0.02,-0.02,0.02
2025-11-28,BR45,0,0.03,-0.03,0.03
2025-11-29,BR45,0,0.03,-0.03,0.03
2025-11-30,BR45,0,0.03,-0.03,0.03
2025-12-01,BR45,0,0.03,-0.03,0.03
2025-12-02,BR45,0,0.03,-0.03,0.03
2025-12-03,BR45,0,0.03,-0.03,0.03
2025-12-04,BR45,0,0.03,-0.03,0.03
2025-12-05,BR45,0,0.03,-0.03,0.03
2025-12-06,BR45,0,0.03,-0.03,0.03
2025-12-07,BR45,0,0.04,-0.04,0.04
2025-12-08,BR45,0,0.04,-0.04,0.04
2025-12-09,BR45,0,0.04,-0.04,0.04
2025-12-10,BR45,0,0.04,-0.04,0.04
2025-12-11,BR45,0,0.04,-0.04,0.04
2025-12-12,BR45,0,0.04,-0.04,0.04
2025-12-13,BR45,0,0.04,-0.04,0.04
